start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10 with read ROI [700:5700, 368:4368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1140 with read ROI [700:5700, 368:4368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3276 with read ROI [700:5700, 368:4368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/57 with read ROI [700:5700, 4368:8368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/681 with read ROI [700:5700, 4368:8368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 4368:8368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4061 with read ROI [700:5700, 4368:8368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 4368:8368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/367 with read ROI [700:5700, 8368:12368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/972 with read ROI [700:5700, 8368:12368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 8368:12368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/686 with read ROI [700:5700, 12368:16368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2306 with read ROI [700:5700, 12368:16368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/465 with read ROI [700:5700, 16368:20368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2310 with read ROI [700:5700, 16368:20368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/301 with read ROI [700:5700, 20368:24368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2315 with read ROI [700:5700, 20368:24368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/307 with read ROI [700:5700, 24368:28368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1792 with read ROI [700:5700, 24368:28368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/392 with read ROI [700:5700, 28368:32368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 20368:24368] (5000, 4000, 4000)
